Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
1.97,0.94,1.61,46.11,84.87,0.64,33.33,2.73,59.6,1.61,5.25,0.73,5.98,59.7,Ferdi Kadıoğlu,ferdi-kadioglu,Fenerbahçe,
2.33,1.47,2.08,30.58,75.89,2.24,34.48,2.91,48.66,0.83,3.61,0.77,4.38,63.72,Guilherme Haubert Sityá,guilherme-haubert-sitya,Konyaspor,
1.06,1.48,2.86,48.34,84.79,0.23,33.33,3.41,46.84,0.51,2.35,3.69,6.04,61.21,Abdülkerim Bardakcı,abdulkerim-bardakci,Galatasaray,
2.17,2.25,5.13,37.1,77.69,0.07,25.0,4.81,47.87,0.18,3.24,2.5,5.74,57.5,Emirhan Topçu,emirhan-topcu,Çaykur Rizespor,
2.41,2.29,5.06,61.53,90.2,0.0,0.0,2.89,57.14,0.06,3.37,3.19,6.56,62.29,Ousseynou Ba,ousseynou-ba,Başakşehir FK,
1.3,1.55,3.85,50.05,87.12,0.0,0.0,2.6,42.62,0.1,2.1,2.15,4.25,57.05,Omar Colley,omar-colley,Beşiktaş,
0.77,1.63,3.91,48.1,82.92,0.04,50.0,2.32,35.71,0.04,1.43,4.64,6.07,69.78,Victor Nelsson,victor-nelsson,Galatasaray,
2.13,1.16,2.39,54.93,82.72,0.0,0.0,3.48,41.86,0.45,3.42,2.9,6.32,57.31,Davinson Sánchez,davinson-sanchez,Galatasaray,
1.84,1.42,1.47,37.79,83.59,0.53,30.3,1.26,52.17,0.89,3.58,1.58,5.16,49.25,Sacha Boey,boey-sacha,Galatasaray,
1.62,2.26,3.39,49.4,85.1,0.0,0.0,4.18,57.82,0.15,2.7,2.61,5.31,61.02,Alexander Djiku,alexander-djiku,Fenerbahçe,
1.3,1.07,3.04,56.11,89.12,0.04,11.11,2.67,52.94,0.59,2.81,3.41,6.22,62.45,Léo Duarte,leo-duarte,Başakşehir FK,
1.67,1.29,2.83,53.47,85.51,0.06,33.33,6.78,55.82,0.13,1.99,1.35,3.34,52.26,Semih Güler,semih-guler,Adana Demirspor,
1.0,1.79,2.58,53.42,88.54,0.08,40.0,2.33,44.09,0.67,2.75,2.21,4.96,57.77,Jerome Opoku,opoku-jerome,Başakşehir FK,
1.32,1.37,1.88,42.86,84.12,0.51,31.25,3.72,54.89,0.31,2.19,2.44,4.63,56.17,Kaan Ayhan,kaan-ayhan,Galatasaray,
2.19,1.86,2.19,28.79,73.48,1.38,22.48,2.96,42.18,0.38,3.29,1.76,5.05,57.3,Zeki Yavru,zeki-yavru,Yılport Samsunspor,
2.21,1.02,1.32,28.3,87.43,0.24,50.0,0.66,52.38,1.32,5.03,0.78,5.8,60.25,Bright Osayi-Samuel,bright-osayi-samuel,Fenerbahçe,
1.81,0.96,5.16,33.8,84.54,0.06,100.0,3.91,55.2,0.17,2.04,1.76,3.8,60.91,Samba Camara,samba-camara,Sivasspor,
1.81,1.1,1.75,34.04,84.14,0.35,38.89,1.35,43.55,0.4,3.76,1.45,5.21,61.54,Jonas Svensson,jonas-svensson,Beşiktaş,
1.86,1.1,3.46,47.83,86.7,0.21,50.0,2.49,43.38,0.3,3.29,2.45,5.74,64.45,Necip Uysal,necip-uysal,Beşiktaş,
2.32,1.25,1.98,34.79,81.38,0.82,35.42,1.83,50.0,0.68,4.1,0.77,4.87,56.11,Bünyamin Balcı,bunyamin-balci,Antalyaspor,
1.22,0.92,1.06,28.0,73.32,0.66,20.83,1.35,40.2,1.02,3.2,1.71,4.91,52.1,Mortadha Ben Ouanes,mortadha-ben-ouanes,,Kasımpaşa
1.85,1.19,3.89,47.8,87.14,0.0,0.0,4.09,59.05,0.26,2.77,1.12,3.89,54.13,Ibrahim Drešević,ibrahim-dresevic,,Fatih Karagümrük
0.63,0.81,2.8,53.83,90.65,0.0,0.0,3.61,55.17,0.09,1.49,2.39,3.88,61.43,Stefano Denswil,stefano-denswil,,Trabzonspor
1.05,1.83,4.62,31.31,85.4,0.0,0.0,2.07,48.11,0.24,1.78,2.72,4.5,63.07,Caner Osmanpaşa,caner-osmanpasa,,Sivasspor
1.93,1.74,3.54,46.83,83.13,0.0,0.0,3.66,43.07,0.93,3.29,2.61,5.9,62.91,Francisco Calvo,francisco-calvo,,Konyaspor
2.59,1.7,2.12,33.35,79.44,0.61,24.07,3.44,56.59,0.61,5.47,1.6,7.08,60.0,Ahmet Oğuz,ahmet-oguz,,Konyaspor
1.99,1.54,2.07,38.95,81.69,1.06,21.31,1.87,41.44,0.28,2.64,0.65,3.29,47.37,Güray Vural,guray-vural,,Antalyaspor
1.49,0.72,2.12,35.6,80.17,1.06,21.57,5.63,58.79,0.34,2.69,0.82,3.51,54.07,Jure Balkovec,jure-balkovec,,Alanyaspor
1.39,1.57,4.3,35.74,77.55,0.0,0.0,3.96,41.74,0.17,1.65,2.39,4.04,61.18,Kenneth Omeruo,kenneth-omeruo,,Kasımpaşa
2.46,1.34,1.95,34.89,78.72,0.54,22.08,1.89,34.91,1.15,4.41,0.74,5.15,56.29,Münir Levent Mercan,munir-levent-mercan,,Fatih Karagümrük
1.69,1.02,4.82,46.54,87.03,0.0,0.0,2.35,43.82,0.3,3.26,3.8,7.05,71.78,Bahadır Öztürk,bahadir-ozturk,,Antalyaspor
1.26,1.3,5.01,45.17,89.3,0.0,0.0,2.49,50.68,0.1,1.76,2.39,4.15,66.14,Uroš Radaković,uros-radakovic,,MKE Ankaragücü
2.2,1.13,1.36,36.41,82.78,0.4,17.5,1.02,38.3,2.71,6.22,1.02,7.24,55.9,Loide Augusto,loide-augusto,,Alanyaspor
0.82,0.92,4.31,59.57,86.09,0.18,50.0,3.57,42.86,0.27,1.74,2.57,4.31,58.02,Nuno Lima,nuno-lima,,Alanyaspor
2.17,1.59,4.34,47.87,84.39,0.07,33.33,3.66,42.19,0.14,3.05,2.0,5.05,55.81,Veysel Sarı,veysel-sari,,Antalyaspor
